genre,subgenre
Alternative,Art Punk
Alternative,Alternative Rock
Alternative,Britpunk
Alternative,College Rock
Alternative,Crossover Thrash 
Alternative,Crust Punk 
Alternative,Experimental Rock
Alternative,Folk Punk
Alternative,Goth / Gothic Rock
Alternative,Grunge
Alternative,Hardcore Punk
Alternative,Hard Rock
Alternative,Indie Rock
Alternative,Lo-fi 
Alternative,Musique Concrète
Alternative,New Wave
Alternative,Progressive Rock
Alternative,Punk
Alternative,Shoegaze 
Alternative,Steampunk 
Alternative,Emotional Hardcore  – 
Blues,Acoustic Blues
Blues,African Blues
Blues,Blues Rock
Blues,Blues Shouter
Blues,British Blues
Blues,Canadian Blues
Blues,Chicago Blues
Blues,Classic Blues
Blues,Classic Female Blues
Blues,Contemporary Blues
Blues,Contemporary R&B
Blues,Country Blues
Blues,Delta Blues
Blues,Detroit Blues
Blues,Electric Blues
Blues,Folk Blues
Blues,Gospel Blues
Blues,Harmonica Blues
Blues,Hill Country Blues
Blues,Hokum Blues
Blues,Jazz Blues
Blues,Jump Blues
Blues,Kansas City Blues
Blues,Louisiana Blues
Blues,Memphis Blues
Blues,Modern Blues
Blues,New Orlean Blues
Blues,NY Blues
Blues,Piano Blues
Blues,Piedmont Blues
Blues,Punk Blues
Blues,Ragtime Blues 
Blues,Rhythm Blues
Blues,Soul Blues
Blues,St. Louis Blues
Blues,Soul Blues
Blues,Swamp Blues
Blues,Texas Blues
Blues,Urban Blues
Blues,Vandeville
Blues,West Coast Blues
Blues,Zydeco 
Children’s Music,Lullabies
Children’s Music,Sing-Along
Children’s Music,Stories
Classical,Avant-Garde
Classical,Ballet
Classical,Baroque
Classical,Cantata
Classical,String Quartet
Classical,Chant
Classical,Choral
Classical,Classical Crossover
Classical,Concerto
Classical,Concerto Grosso
Classical,Early Music
Classical,Expressionist 
Classical,High Classical
Classical,Impressionist
Classical,Mass Requiem
Classical,Medieval
Classical,Minimalism
Classical,Modern Composition
Classical,Modern Classical
Classical,Opera
Classical,Oratorio
Classical,Orchestral
Classical,Organum
Classical,Renaissance
Classical,Romantic 
Classical,Romantic 
Classical,Sonata
Classical,Symphonic
Classical,Symphony
Classical,Wedding Music
Classical,Chamber Music
Classical,String Quartet
Classical,Contemporary Classical 
Comedy,Novelty
Comedy,Parody Music 
Comedy,Stand-up Comedy
Comedy,Vaudeville 
Contemporary Classical,Avant-Garde
Contemporary Classical,Ballet
Contemporary Classical,Baroque
Contemporary Classical,Cantata
Contemporary Classical,String Quartet
Contemporary Classical,Chant
Contemporary Classical,Choral
Contemporary Classical,Classical Crossover
Contemporary Classical,Concerto
Contemporary Classical,Concerto Grosso
Contemporary Classical,Early Music
Contemporary Classical,Expressionist 
Contemporary Classical,High Classical
Contemporary Classical,Impressionist
Contemporary Classical,Mass Requiem
Contemporary Classical,Medieval
Contemporary Classical,Minimalism
Contemporary Classical,Modern Composition
Contemporary Classical,Modern Classical
Contemporary Classical,Opera
Contemporary Classical,Oratorio
Contemporary Classical,Orchestral
Contemporary Classical,Organum
Contemporary Classical,Renaissance
Contemporary Classical,Romantic 
Contemporary Classical,Romantic 
Contemporary Classical,Sonata
Contemporary Classical,Symphonic
Contemporary Classical,Symphony
Contemporary Classical,Wedding Music
Contemporary Classical,Chamber Music
Contemporary Classical,String Quartet
Contemporary Classical,Contemporary Classical 
Country,Alternative Country
Country,Americana
Country,Australian Country
Country,Bakersfield Sound
Country,Blues Country
Country,Cajun Fiddle Tunes
Country,Christian Country
Country,Classic Country
Country,Close Harmony
Country,Contemporary Country
Country,Country Gospel
Country,Country Pop 
Country,Country Rap
Country,Country Rock
Country,Country Soul
Country,Cowboy / Western
Country,Cowpunk
Country,Dansband
Country,Honky Tonk
Country,Franco-Country
Country,Gulf and Western
Country,Hellbilly Music
Country,Honky Tonk
Country,Instrumental Country
Country,Lubbock Sound
Country,Nashville Sound
Country,Outlaw Country
Country,Progressive
Country,Red Dirt
Country,Sertanejo
Country,Texas County
Country,Traditional Country
Country,Urban Cowboy
Country,Western Swing
Country,Zydeco
Country,Bluegrass
Country,Progressive Bluegrass
Country,Reactionary Bluegrass
Country,Progressive Bluegrass
Country,Reactionary Bluegrass
Country,Contemporary Bluegrass
Country,Neotraditional Country
Country,Psychobilly / Punkabilly
Country,Traditional Bluegrass
Country,Truck-Driving Country
Dance,Club / Club Dance 
Dance,Breakcore
Dance,4-Beat
Dance,Acid Breaks
Dance,Baltimore Club
Dance,Big Beat
Dance,Breakbeat Hardcore
Dance,Broken Beat
Dance,Florida Breaks
Dance,Nu Skool Breaks
Dance,Brostep 
Dance,Chillstep 
Dance,Deep House 
Dance,Dubstep
Dance,Electro House 
Dance,Electroswing
Dance,Exercise
Dance,Future Garage 
Dance,Garage
Dance,Glitch Hop 
Dance,Glitch Pop 
Dance,Grime 
Dance,Bouncy House
Dance,Bouncy Techno
Dance,Breakcore
Dance,Digital Hardcore
Dance,Doomcore
Dance,Dubstyle
Dance,Gabber
Dance,Happy Hardcore
Dance,Hardstyle
Dance,Jumpstyle
Dance,Makina
Dance,Speedcore
Dance,Terrorcore
Dance,Uk Hardcore
Dance,Hard Dance
Dance,Hi-NRG / Eurodance
Dance,Horrorcore 
Dance,Acid House
Dance,Chicago House
Dance,Deep House
Dance,Diva House
Dance,Dutch House
Dance,Electro House
Dance,Freestyle House
Dance,French House
Dance,Funky House
Dance,Ghetto House
Dance,Hardbag
Dance,Hip House
Dance,Italo House
Dance,Latin House
Dance,Minimal House
Dance,Progressive House
Dance,Rave Music
Dance,Swing House
Dance,UK Hard House
Dance,US Garage
Dance,Vocal House
Dance,Jackin House 
Dance,Jungle / Drum’n’bass
Dance,Liquid Dub
Dance,Regstep 
Dance,Speedcore 
Dance,Acid Techno
Dance,Detroit Techno
Dance,Free Tekno
Dance,Ghettotech
Dance,Minimal
Dance,Nortec
Dance,Schranz
Dance,Techno-Dnb
Dance,Technopop
Dance,Tecno Brega
Dance,Toytown Techno
Dance,Acid Trance
Dance,Classic Trance
Dance,Dream Trance
Dance,Dark Psytrance
Dance,Full on
Dance,Psybreaks
Dance,Psyprog
Dance,Suomisaundi
Dance,Hard Trance
Dance,Tech Trance
Dance,Orchestral Uplifting
Dance,Vocal Trance
Dance,Trap 
Dance,Breakbeat / Breakstep
Dance,4-Beat
Dance,Acid Breaks
Dance,Baltimore Club
Dance,Big Beat
Dance,Breakbeat Hardcore
Dance,Broken Beat
Dance,Florida Breaks
Dance,Nu Skool Breaks
Dance,Hardcore
Dance,Bouncy House
Dance,Bouncy Techno
Dance,Breakcore
Dance,Digital Hardcore
Dance,Doomcore
Dance,Dubstyle
Dance,Gabber
Dance,Happy Hardcore
Dance,Hardstyle
Dance,Jumpstyle
Dance,Makina
Dance,Speedcore
Dance,Terrorcore
Dance,Uk Hardcore
Dance,House
Dance,Acid House
Dance,Chicago House
Dance,Deep House
Dance,Diva House
Dance,Dutch House
Dance,Electro House
Dance,Freestyle House
Dance,French House
Dance,Funky House
Dance,Ghetto House
Dance,Hardbag
Dance,Hip House
Dance,Italo House
Dance,Latin House
Dance,Minimal House
Dance,Progressive House
Dance,Rave Music
Dance,Swing House
Dance,Tech HouseTribal House
Dance,UK Hard House
Dance,US Garage
Dance,Vocal House
Dance,Tech HouseTribal House
Dance,Techno
Dance,Acid Techno
Dance,Detroit Techno
Dance,Free Tekno
Dance,Ghettotech
Dance,Minimal
Dance,Nortec
Dance,Schranz
Dance,Techno-Dnb
Dance,Technopop
Dance,Tecno Brega
Dance,Toytown Techno
Dance,Trance
Dance,Acid Trance
Dance,Classic Trance
Dance,Dream Trance
Dance,Goa Trance
Dance,Dark Psytrance
Dance,Full on
Dance,Psybreaks
Dance,Psyprog
Dance,Suomisaundi
Dance,Hard Trance
Dance,Tech Trance
Dance,Uplifting Trance
Dance,Orchestral Uplifting
Dance,Vocal Trance
Dance,Goa Trance
Dance,Dark Psytrance
Dance,Full on
Dance,Psybreaks
Dance,Psyprog
Dance,Suomisaundi
Dance,Uplifting Trance
Dance,Orchestral Uplifting
Easy Listening,Background
Easy Listening,Bop
Easy Listening,Elevator
Easy Listening,Furniture
Easy Listening,Lounge
Easy Listening,Middle of the Road
Easy Listening,Swing
Electronic,2-Step 
Electronic,Ambient Dub
Electronic,Ambient House
Electronic,Ambient Techno
Electronic,Dark Ambient
Electronic,Drone Music
Electronic,Illbient
Electronic,Isolationism
Electronic,Lowercase
Electronic,Asian Underground
Electronic,Bassline 
